"user_id","agrees","disagrees","passes","total_votes","statement_text","group_A_agrees","group_A_disagrees","group_A_passes","group_B_agrees","group_B_disagrees","group_B_passes","group_C_agrees","group_C_disagrees","group_C_passes","moderation_status","is_seed"
"","164","27","34","225","Consider the local demographic when looking at house building. It seems to me its just a case of here's a local unoccupied space - be it, green, brown, whatever classification and lets build a lot of houses here to make a lot of money - with no thought to the existing population and environment, get building and leave the mess later for everyone attitude...","16","15","10","72","3","11","76","9","13","","false"
"","207","29","20","256","There should be no new development near to Areas of Outstanding Natural Beauty.","14","18","7","98","0","5","94","11","7","","false"
"","166","13","21","200","Developers must be accountable to covering all cost for new road infrastructure including pedestrian and cycle routes as part of their development connecting to existing highway network including future maintenance","22","7","5","71","3","8","73","2","8","","false"
"","207","29","15","251","Protecting farm land should be a top priority when planning for new buildings.","12","19","8","93","5","4","100","4","3","","false"
"","153","18","14","185","We don't need more roads built we need the ones we already have properly maintained","17","7","9","67","3","3","69","8","2","","false"
"","39","70","22","131","Everywhere outside of villages in South Staffordshire is basically classed as Green Belt Land with lots of land making logically and sensible areas for development, it is essential to review the current green belt plan. It is out of touch and unrealistic","19","1","6","6","38","9","14","31","7","","false"
"","182","41","13","236","Do not build large new developments in our backyards. We chose to live in a village for a reason. We like the peace and quiet, have your large developments in the larger cities' outskirts where they are needed.","6","24","2","91","2","3","85","15","8","","false"
"","106","6","28","140","The rates are far to high for many small business in villages ,no good building more premises when they are not affordable.","13","4","8","44","0","12","49","2","8","","false"
"","35","8","37","80","Better things for families, the Codsall park is awful. Natural play equipment like pattingham is so much better.","3","3","12","12","1","20","20","4","5","","false"
"","95","33","22","150","More cycling paths to link villages like brewood to Codsall","15","4","3","29","14","12","51","15","6","","false"
"","87","26","22","135","agree with the installation of solar panels","21","1","2","25","12","15","41","13","5","","false"
"","86","14","35","135","Staffordshire must not rely on the goodwill of neighbouring West Midlands towns and cities by developments close to the conurbation that cause those areas to provide all the extra services E.g Schools, Surgeries etc.","9","4","7","27","7","16","50","3","11","","false"
"","104","6","17","127","Businesses should be located wherever it makes logistical and practical sense to do so, e.g. large industrial businesses should be sited where they have motorway access and do not impact small local roads, whereas small businesses such as hairdressers should be located within the communities that will use them.","16","0","6","42","2","8","46","4","3","","false"
"","133","38","12","183","No new development of any kind on farmland of any kind. We need to feed our own people first. You can't eat electricity.","2","19","1","66","6","3","65","13","8","","false"
"","126","1","9","136","Councils should look at the abandoned houses and  buildings and redo them up for the the young and old rather than let then rot.?","14","0","4","58","0","3","54","1","2","","false"
"","76","15","16","107","All new developments need solar panels fitted as standard.","16","0","2","31","6","5","29","9","9","","false"
"","101","13","17","131","You need to define green belt land and explain what the impact of changing this would mean. It needs reviewing but we need more information on how this would be done.","14","2","2","40","7","8","47","4","7","","false"
"","52","10","32","94","Should not be building in Perton at all we have two roads both in and out we cannot cope the local facilities are struggling already, No more new builds in this village thank you!","1","4","7","31","1","14","20","5","10","","false"
"","42","12","23","77","Cycling is not a primary means of transport and there should be respectful sharing of resources not segregation based on ill-informed opinions","3","3","4","23","4","8","16","5","11","","false"
"","99","9","15","123","Provision of parking spaces should be a condition of planning permission and this should include visitor parking.","12","1","3","37","5","9","50","3","3","","false"
"","28","5","24","57","What about those of us who can't walk very far and need to park close to shops and social spaces?","6","0","4","10","3","12","12","2","8","","false"
"","116","17","15","148","All new homes should be affordable and energy saving","11","2","3","39","10","12","65","5","0","","false"
"","38","9","27","74","But housing developments and other developments tske away natural green areas wild life and leaves villages dying out. More traffic thst affects lanes","0","7","6","24","0","12","14","2","9","","false"
"","51","4","32","87","Already have large development on my doorstep the WM HUB. This will affect the amount of traffic in local lanes  and roads already with log  jams when problems on a449 or m6.","3","2","9","26","0","14","22","2","9","","false"
"","31","3","24","58","Where are the questions about health services, especially mental health services as in South staffs they are highly disjointed. The local mental health hospital is Stafford whereas we can access physical health hospitals in Dudley and Wolverhampton when living in Wombourne but there are no mental health facilities in Wombourne. Why the disparity and no reciprocal agreement with say penn hospital in Wolverhampton?","6","0","6","14","1","15","11","2","3","","false"
"","45","7","25","77","I think development in lower tier developments is now needed. All the upper tiers are being massively over developed especially Penkridge. The area around the WMI should be developed so the planned 8000 employees can live nearer to where they work. This will stop small villages from experiencing massive traffic increase from rat runs.","6","0","6","18","5","13","21","2","6","","false"
"","53","6","26","85","I hope to see affordable housing in smaller tiers. Larger tier areas are being massively over developed.","7","0","8","19","6","12","27","0","6","","false"
"","95","10","21","126","I hope to see Stafford and Penkridge separate places with green spaces between them. Not merged into one.","4","7","5","43","1","6","47","2","10","","false"
"","93","3","18","114","Parks and open spaces should be safe for everyone to enjoy. This includes a (or more) women from aggressive male teenagers and men.","13","0","6","38","2","7","42","1","5","","false"
"","26","6","34","66","Many people park in the gardens as well as grass verges outside their home. Up to 5 cars if not more. Some 'families can have five adults in the same house. Some people seem to run a 'business' from their home with up to 5 or 6 vehicles in the front which they have paved over. Others drive over grass verges so many times, the grass has stopped growing.","1","2","7","15","3","11","10","1","16","","false"
"","7","8","25","40","Unsure about care homes. Carers don't always live in the area and therefore need to drive  to work. I also know of carers who have been reported for anti-social behaviour and parking offences. Carers have also trespassed on private premises and interfered in business that is not theirs.","0","1","7","4","3","11","3","4","7","","false"
"","7","33","10","50","No more terraced homes. Owners of smaller houses might be tempted to build extensions. No more extensions.","0","9","1","6","12","4","1","12","5","","false"
"","42","9","27","78","Yes maintain pavements and roads but NOT continue to make the Wombourne railway walk into a road! This just entices ‘off road joyriders on bikes enjoy speed’ and discourages nature walkers!  Get the roads done for motorists.  What a waste of money whoever dreamed this up??","3","3","8","23","0","9","16","6","10","","false"
"","110","12","11","133","We are a welcoming county and everyone should feel safe to live and work here.","12","0","2","44","8","5","53","4","4","","false"
"","45","19","24","88","EVs are not green and should exist in the same market as petrol and diesel vehicles. Concessions are encouraging people to buy vehicles with built in obselecence. I object to subsidies for EVs and infrastructure should be paid for by the manufacturers or importers.","2","7","2","23","2","10","19","10","12","","false"
"","34","9","22","65","I would rather see more green spaces and trees on business and housing development sites, maximising the use of space through the use of green roofs and green walls, and minimising lawns/amenity grassland","6","0","6","11","4","8","17","5","8","","false"
"","37","34","17","88","Development should occur on land that is poor quality for biodiversity and agriculture, such as low grade agricultural land, even if it is in the green belt","10","1","3","8","24","6","19","8","8","","false"
"","61","9","20","90","More open spaces should be managed encourage natural processes to support more biodiversity, not be managed as amenity grassland","7","1","3","27","4","12","27","4","5","","false"
"","108","16","9","133","No more green spaces to be allocated to housing please.  We need our green belts to grow not to be removed","2","9","5","51","0","2","55","7","2","","false"
"","57","27","10","94","Cycling is DEFINITELY NOT PART of normal transport so LESS should be spent on it and MORE on maintaining roads, fixing potholes etc","4","6","3","32","8","4","21","13","3","","false"
"","35","33","11","79","The should be NO MONEY SPENT for cyclists as this mode of transport is minimally used","2","8","1","23","9","7","10","16","3","","false"
"","53","18","19","90","The local community needs more attention to keeping idle hand occupied specifically teenagers.","6","5","5","18","10","9","29","3","5","","false"
"","35","38","16","89","Towns shouldn’t merge but small settlements could merge potentially. Some are small like hamlets and aren’t really proper settlements. I don’t see a problem with them joining up to form bigger villages because that’s how lots of settlements have grown over time anyway.","11","0","1","4","25","7","19","13","8","","false"
"","18","8","21","47","We aren’t self sufficient in food because we export a lot of food too. A lot of our farmland isn’t great for farming and the biggest threat to farming are the supermarkets being monopoly’s and price setting, not housing or commercial development.","4","0","6","7","5","8","7","3","7","","false"
"","15","6","20","41","Education places already form part of plan preparation and planning applications for larger scale development. People want choice - for example the children from many families in Codsall and Bilbrook choose to go to Wolverhampton Girls High, St Edmunds, Haberdashers in Newport despite there being a high school in close proximity. Education choice therefore impacts on the number of car journeys made to some schools, and this is the direct result of parental choice, not poor planning.","4","1","5","4","3","9","7","2","6","","false"
"","26","23","19","68","People think that new housing puts a burden on infrastructure. It can do, but a serious lack of investment in it for decades has left us without decent facilities and roads etc. new housing is now one of the only ways we will get investment in the community because the government has no money to spend.","13","0","2","3","20","8","10","3","9","","false"
"","20","29","12","61","I know older people like bungalows but they take up twice as much space as the same size house. What is wrong with well-planned apartments in small complexes with shared spaces to meet? It works in continental Europe and provides a lot more opportunity for interactions and support if needed. Bungalows can waste land when we should be using land efficiently.","6","1","3","3","14","6","11","14","3","","false"
"","50","37","16","103","I’ve seen some opinions where people think that new housing is needed because of immigration but that’s total nonsense. We have historically never really built enough homes in this country to meet the need and we’ve created a real problem now for our young people. 30/40 years ago young people could afford to buy a home on an average wage, now it’s impossible. Supply must improve or we will have young people unable to move out of their family homes and the birth rate will drop dramatically. We’ve got to stop being NIMBYS!","12","0","1","11","27","7","26","10","8","","false"
"","54","1","20","75","We have some unique buildings reflecting our past industrial heritage that could be highlighted. ( A wonderful Victorian pumping station in Wombourne that looks like a castle).","7","0","4","21","0","10","26","1","6","","false"
"","94","4","5","103","All areas should be safe for everyone - the young, the old, female, male, all ethnicitities, gender preference etc.","12","1","0","38","3","5","44","0","0","","false"
"","68","12","10","90","Solar panels yes but not on green belt.","2","5","2","29","3","4","37","4","4","","false"
"","70","11","12","93","A sensible approach is required to climate change with a gradual change from carbon to net zero.","9","1","2","22","6","8","39","4","2","","false"
"","83","8","13","104","It is important that infills of housing between communities are not allowed resulting in a large conurbations being created and destroying the quality of life of people affected.","6","4","2","39","1","7","38","3","4","","false"
"","20","34","5","59","Green Belt was never intended to be unchanged forever.","6","4","1","5","20","0","8","10","4","","false"
"","33","11","18","62","Changes to allow good developments are appropriate.","8","0","2","4","10","8","20","1","8","","false"
"","29","19","18","66","The rural communities of South Staffs need to be able to grow to provide homes and businesses for new families, especially affordable homes and downsizing properties, this will keep schools and services open whilst making the community sustainable.","7","0","2","4","13","9","17","6","7","","false"
"","30","12","15","57","Support biodiversity gains and new public space that will be ensured through new development, instead of monoculture arable farming.","7","0","1","7","6","12","15","6","2","","false"
"","97","8","9","114","There needs to be parking by the train stations which is available at all times.","10","1","3","37","3","3","48","4","3","","false"
"","27","11","17","55","Urgent action is needed to reduce emissions to protect the local environment that many local farmers depend, as we all do for food. Additionally it's an opportunity for growth, jobs and local energy resilience and national energy security.","5","1","4","6","4","12","16","6","1","","false"
"","53","13","13","79","There should be better public transport across much of rural Staffordshire, to reduce the reliance on cars and the number of cars needed in local towns/villages.","5","1","1","18","9","8","30","3","4","","false"
"","42","15","15","72","even if the schools were closer people would still drive so there would be no advantage","3","1","2","22","4","6","17","10","7","","false"
"","11","22","10","43","families are increasing in size so we do need more larger homes","3","0","0","3","13","6","5","9","4","","false"
"","48","13","16","77","The argument over green/brown/grey belt can become oversimplified and we should look at individual sights on the value of nature/diversity they contribute to locality rather than just considering the designation.","3","1","2","15","7","8","30","5","6","","false"
"","26","12","13","51","Increase social housing stock through new build and refurbishment","6","0","1","5","9","7","15","3","5","","false"
"","89","2","12","103","We need to support our local farms to introduce nature friendly farming practices and to add resilience by exploring high quality food and on site sales.","9","0","2","33","2","4","47","0","6","","false"
"","60","4","1","65","There are no brownfield sites in the village where I live.  South Staffordshire should not be used as a dumping ground for the West Midlands conurbation (Dudley, Wolverhampton, Birmingham etc).","1","1","0","37","1","0","22","2","1","","false"
"","34","8","6","48","More houses means more water run off and risk of flooding","1","3","2","18","0","2","14","5","2","","false"
"","22","8","12","42","You need to advertise existing bus services and assess any spare capacity first. Any new home owners/occupiers will undoubtedly not be from the local area and there will not be sufficient local employment. Fast buses from local hubs need to go direct to train stations or other town centres.","2","2","1","10","3","9","10","3","2","","false"
"","57","6","11","74","New developments need to provide new bus stops/transport links AND retail (corner shops) to limit unnecessary journeys.","6","1","1","25","4","6","26","1","4","","false"
"","69","15","11","95","New builds should be shared however if there are more brownfield sites and better infrastructure in some areas than others then they should be prioritised for development instead of other areas.","1","4","0","28","6","7","40","5","4","","false"
"","45","6","15","66","More support must be given to existing businesses first.","3","1","2","14","3","8","28","2","5","","false"
"","62","3","3","68","When new developments are agreed upon the council should take into consideration all previous, current and future planned developments and their joint negative impact upon the local infrastructure. For example, 2 developments within 5 minutes of me include one lot of 90+ houses and another of 100+ but each development is only considered individually and described as low-impact.","3","1","0","33","0","1","25","2","2","","false"
"","29","15","13","57","No new towns or villages.","0","3","1","15","4","6","14","8","6","","false"
"","32","4","11","47","Is there such a thing as a home for a single person as a one bed flat will always be able to accommodate two people.  A minimum of two car parking spaces are needed for each property.  
If a garage forms part of a property they must be large enough to accommodate a car! 
Garages sizes need to be increased through legislation in order to stop on street parking.","4","1","0","15","1","6","13","2","5","","false"
"","11","7","9","27","The Environment Agency looks after flooding risks to existing developments. Any new development will not pay to rectify existing issues elsewhere.","2","1","0","4","6","7","5","0","2","","false"
"","63","0","6","69","Developers should have to invest in local infrastructure and services to some extent when their developments are expected to have a negative impact on the current services - more money for roads and services to at least give a boost to coping with the influx. Simply including a park in their proposals will not help with flood damage, potholes, issues with local services and public transport.","4","0","1","25","0","4","32","0","1","","false"
"","9","15","8","32","Burger joints and barbers on the high street employ local people.","1","1","1","4","11","5","4","3","1","","false"
"","47","5","6","58","Support to existing businesses needs to be the priority.","5","1","1","20","3","3","22","1","2","","false"
"","29","8","9","46","Heavy civil infrastructure (bridges/tunnels) is not the answer for a rural community.","3","1","2","16","1","3","10","6","4","","false"
"","51","9","12","72","Communal gardens in developments need to be an objective.","0","2","1","13","6","9","38","1","2","","false"
"","23","8","9","40","Cycleways need to be connected to major transport hubs - this means into neighbouring boroughs outside of South Staffordshire.","3","1","0","14","3","6","6","4","3","","false"
"","19","16","12","47","Any new housing development must include construction of a new pub.  Green open space can be provided with a nice beer garden.  The pub will then be able to employ local people in the service, catering, accommodation and building services maintenance trades.","2","4","0","6","3","8","11","9","4","","false"
"","8","11","9","28","Development shouldn't be banned if facilities locally don't exist or are stretched, but the necessary investment should be included within or indeed before any proposed developments. Practically I think that people locally will see a greater benefit from development and not that it is just a detrimental thing.","1","1","0","2","6","6","5","4","3","","false"
"","33","9","7","49","New developments only when essential for community.","0","4","0","21","3","2","12","2","5","","false"
"","34","8","8","50","New housing should be as accessible as possible ... widened doorways, some sockets and switches at waist height etc. It will keep people in their home for longer...","4","0","1","16","3","4","14","5","3","","false"
"","40","12","7","59","Any new development must involve public transport organisations and the creation of bus/tram/train routes and schedules. The reliance on making things easier for cars is short-sighted in terms of the environment and energy solutions.","4","2","0","16","6","5","20","4","2","","false"
"","27","15","8","50","Any new schools built should automatically have a 'no-traffic zone' around them, with only public transport and transport for the disabled allowed within a specified distance of the school at start and finish times.","2","2","0","10","8","8","15","5","0","","false"
"","12","6","14","32","Re designation of traffic to protect the village of Wombourne,","0","2","2","4","2","5","8","2","7","","false"
"","28","9","5","42","Data is available from ONS and other sources that show categorically that, as well as an ageing population, we have many homes that are underoccupied because older people are unable to find, or afford, suitable downsizing options. There are arguments to say that building types in some areas should be a majority, rather than the box-ticking exercise it seems to be currently. This would free up homes for families and enable more independent living for the elderly and infirm.","1","0","0","16","5","2","11","4","3","","false"
"","24","1","11","36","Providing Costing were realistic, Yes, we should  entice new and older established   businesses to thrive.  Naturally, the more profitable businesses we  host, the more Staffordshire will prosper.","2","0","1","11","1","6","11","0","4","","false"
"","24","8","11","43","Should appropriate accommodation be offered to residents to down size from their family home","4","1","0","5","5","7","15","2","4","","false"
"","42","6","8","56","We should support local farmers and small business, larger supermarkets are killing our villages","4","0","0","18","2","4","20","4","4","","false"
"","29","8","10","47","Local residents should be supported to access social housing, recent changes to housing criteria has made it harder for local residents to be prioritised or even access.","1","2","1","14","1","8","14","5","1","","false"
"","59","3","5","67","Improve infrastructure before development is approved","3","2","1","32","0","2","24","1","2","","false"
"","27","6","13","46","Build sturdy housing. Most renewable features are short term with expensive replacement costs","3","2","2","13","1","7","11","3","4","","false"
"","31","4","11","46","New developments are of poor build quality this needs to be addressed first look at the new development at Perton shocking quality poor water pressure etc","3","2","0","13","2","9","15","0","2","","false"
"","19","14","10","43","I have an electric car they are not practicable for long journeys and are extremely expensive when using public chargers plus the second hand value is poor stop this green nonsense","0","4","0","12","6","7","7","4","3","","false"
"","9","4","10","23","Artisan shops are expensive and would be used initially then people would due to cost of living go back to supper markets","3","0","0","4","1","7","2","3","3","","false"
"","51","8","3","62","Solar farms should be incorporated into concrete spaces not green space. Using green space for solar power does nothing but destroy the economy system","4","4","0","26","1","0","21","3","3","","false"
"","43","4","10","57","All New build sites should have solar panels on all properties, with road layouts designed to south facing roofs to prioritise solar efficiency","2","1","0","15","3","8","26","0","2","","false"
"","48","3","9","60","So you improve the local services but put increased demand on them. Aren’t you back at square one? Services need to be improved NOW for the current population levels.","1","2","2","23","0","4","24","1","3","","false"
"","20","3","11","34","Investment in the area is not balanced.  Not enough services are in lower south Staffordshire.","3","1","1","9","1","5","8","1","5","","false"
"","15","3","14","32","Wombourne needs to encourage a variety of services and shops including health","0","1","0","9","2","9","5","0","5","","false"
"","52","3","11","66","Town planning should take into consideration elderly and those who can not independently walk.  Driving to venues is important to maintain a person’s wellbeing and independence.","1","2","1","21","1","6","30","0","4","","false"
"","29","2","13","44","Consideration needs to be made that some services are directed to other villages or towns but there is no bus link between these towns","1","1","1","12","0","8","15","1","4","","false"
"","59","3","4","66","Any new builds must be checked that all promises and standards promised by developers regarding nature, wildlife must be insisted upon","5","0","0","31","2","3","23","1","1","","false"
"","49","11","6","66","Car parks should have canopies with solar panels to generate energy back into the system","4","3","1","23","6","2","21","2","3","","false"
"","34","6","9","49","Reopen old forums and clubs for the youth.","4","1","0","16","3","5","14","2","4","","false"
"","54","1","6","61","Allow nature to thrive in places it already is.","5","1","0","26","0","3","23","0","3","","false"
"","14","11","11","36","Restore outdoor lidos and open new ones where possible","2","2","1","5","6","5","7","3","5","","false"
"","52","3","9","64","Cleaner water!","4","1","0","19","2","5","29","0","4","","false"
"","17","16","6","39","There should be 2 car cap on all households if you have a work vehicle it should be parked at work not on the footpaths, if you have 3-6 cars per household and you don't have 3-6 people living in that household then that shouldn't be allowed. Paths are for pedestrians, roads are for driving on and driveways are for your cars, if you havent got a big enough driveway buy/rent a garage, sell a car, find a storage yard or better yet Walk!","2","2","0","7","6","4","8","8","2","","false"
"","49","3","6","58","More public bins","3","1","0","20","1","4","26","0","2","","false"
"","66","3","2","71","Plant more trees, protect existing ones.","4","2","1","31","0","1","31","1","0","","false"
"","38","6","8","52","Protect the deer, the deer that are a living monument to the south staffs district, we have a duty of care as self destructive humans to do so","2","2","1","14","1","4","22","3","3","","false"
"","48","2","7","57","Protect nature by labelling places as nature reserves.","3","1","0","26","0","4","19","1","3","","false"
"","42","9","4","55","There is a need for more housing in South Staffordshire, but the present and predicted needs are largely driven by Central Government and by demands from the West Midlands conurbation. Our planners should represent our residents and propose only housing, linked to established towns and larger villages with services within South Staffordshire, that meets established local Housing Needs Assessments.","1","1","0","23","4","1","18","4","3","","false"
"","28","11","6","45","We do not need any more large industrial wharehouses and distribution centres in South Staffordshire. They present very few jobs for residents per acre of land consumed and those established have relatively low salaries and poor prospects for improvement.","2","2","0","12","1","5","13","8","1","","false"
"","33","6","9","48","Housing development in South Staffordshire should be driven by local requirements, should favour small scale [less than 30 dwellings] on the edges of established settlements with the benefits of existing shops, bus services, schools and GP medical services. They should be significantly 2 and 3 bedroom homes suitable for social, low cost and first time buyer use, of high standards of design and construction and low energy in construction and use.","8","0","0","8","3","7","17","3","2","","false"
"","33","7","7","47","I would love to see fruit trees or bushes grown in public spaces for the local community to enjoy and educating our children.","3","1","2","18","4","2","11","2","3","","false"
"","62","2","1","65","Planners need to consult prior to approval of larger developments","5","1","1","28","0","0","29","1","0","","false"
"","59","3","3","65","Planners need to consult with a wide range of people in the vicinity of the proposed changes to the area and consider impact of increasing numbers of dwellings.","2","3","1","30","0","0","27","0","2","","false"
"","29","5","7","41","There needs to be a combination of bungalows and shared spaces to meet people’s needs and use the land available for everyone’s benefit","1","0","0","8","4","3","20","1","4","","false"
"","62","2","5","69","Development of unused existing spaces should be the priority rather than reducing communal green spaces","5","1","0","24","0","3","33","1","2","","false"
"","41","10","6","57","Brown field sites always. Green belt only when there is no brownfield and then only in small pockets.","0","4","1","21","3","3","20","3","2","","false"
"","23","8","8","39","Our area needs modern digital facilities to support everyday life.","4","0","0","8","5","6","10","3","2","","false"
"","35","5","8","48","Digital growth plays a key role in developing skills at all stages of the workforce from apprentices to reskilling those out of work.","6","0","0","9","4","5","19","1","3","","false"
"","19","9","8","36","Supporting digital growth is important for our area’s future.","2","1","0","7","4","6","10","4","2","","false"
"","23","4","12","39","Rail links from Featherstone to Birmingham. Landywood, Penkridge and Cannock have them. Featherstone has had many housing developments but no improvement to rail links. We are like the forgotten section of south staffs as we are on the border. We have a goods rail track but no pedestrian rail stop.","3","0","0","8","1","9","12","3","3","","false"
"","47","8","6","61","Green open space is needed in new development, with wide streets to include trees, not ‘play areas’.","5","0","0","21","4","4","20","4","2","","false"
"","41","3","9","53","Services should be laid out -hopefully before all the roads - Including a futuristic type of Maintenance Structure. An Old Idea, but underground ducting, allowing all services accesses. Surface and afoul wastes would need a Different - but similar approaches.. Romans : Greeks sort of did all this.. Costly initially , but access times & less roads being dug up.","5","0","0","18","1","4","17","2","5","","false"
"","9","7","8","24","Stop large lorries going through areas close to peoples homes between 2100 and 0900hrs. It's affecting safety, and people's sleep. This affecting peoples wellbeing.","1","2","0","5","1","6","2","4","2","","false"
"","56","6","3","65","South Staffordshire should not build more housing to cater for the Birmingham overspill","3","2","0","30","0","1","22","4","2","","false"
"","19","7","10","36","Housing should be built at much higher density so it can all be accommodated on brownfield land rather than Green Belt or rural communities.","0","4","1","11","2","7","7","1","2","","false"
"","39","8","9","56","Where a village has a group of retail premesis' the classifications should be stricter, so that there isnt too many of the same retailers. For example having 5 shops or 5 salons etc.","3","2","1","14","1","6","22","5","2","","false"
"","22","5","11","38","New roads not new houses.","0","2","0","8","1","6","14","2","5","","false"
"","31","7","8","46","planning decisions should be made on a weighting basis with residents views holding a weighting of at least 60 %.","1","3","0","17","1","3","13","3","5","","false"
"","10","4","9","23","I agree, but this follows on from making villages too big without the extra infrastructure. Adding on to existing villages is prefered to keep additional infrastructure costs down but to the detriment of the village.","0","2","0","4","1","8","6","1","1","","false"
"","47","3","6","56","Promoting all wildlife habitat within existing and new developments should be given more thought.","1","2","1","24","0","2","21","1","3","","false"
"","55","1","5","61","We should facilitate and support the sale of locally produced food locally directly to consumers","3","1","1","24","0","3","28","0","1","","false"
"","5","21","1","27","Just let the experts get on with it and do what’s best for our area. Residents need to stop being such nimbys when we are lucky to live in an area with so much green space as it is!","2","1","0","0","16","0","3","4","1","","false"
"","50","7","4","61","Any sort of industrial infrastructure should not be built anywhere near residential areas, or directly affect them e.g noise distrubance","5","1","0","19","1","4","26","5","0","","false"
"","32","4","8","44","Solar panels should be installed on top of existing buildings such as multi story car parks, warehouses and supermarkets to combat energy prices for all and to stop using valuable farmland for solar panel use","1","0","0","16","1","5","15","3","3","","false"
"","28","9","7","44","There could be a middle ground where solar developments could have to provide a better environment for local wildlife than there was previously such as having areas dedicated to trees and native wildflowers","3","1","2","13","6","3","12","2","2","","false"
"","14","17","7","38","Not only those services but the country lanes need to be made bigger wider to take the increas in road users","2","0","0","3","11","5","8","6","2","","false"
"","24","2","12","38","Should INCLUDE three bedroom homes","4","1","2","10","1","7","10","0","3","","false"
"","13","11","7","31","The emissions ARE NOT the problem.
Its about time the councils and government stopped pushing it!!!!!","0","1","0","9","3","2","4","7","5","","false"
"","25","8","4","37","asking the developers to provide in excessive of 50% affordable housing will inflate the prices on the overall development.  The housing provider should be asked to provide there need - villages are perfect for families therefore 30% affordable housing for this demographic would be more sustainable","4","0","1","13","5","1","7","3","2","","false"
"","24","7","5","36","A sustainable amount of new development works well and ensures key service our maintained and used.  If the development means more services are needed it is essential these are identified and put in place within a clearly defined timescale.  control by the planning process.","4","1","0","8","6","3","12","0","2","","false"
"","43","7","5","55","to encourage less use of the car to get children to school the planning process should identify  clear pathways to the schools and even offer free buses if there is a requirement for a large new development.","2","2","0","20","3","5","21","2","0","","false"
"","13","11","7","31","new development has great potential to add to the community and ensure the shops and pubs are used, if the developments becomes sprawling the heart will be lost and the community will fail.","1","4","0","7","5","5","5","2","2","","false"
"","60","3","5","68","Good briefings should be provided by the council as to what their intentions are - with clearly defined time table and and fully developed plan.","5","1","1","25","1","2","30","1","2","","false"
"","26","8","8","42","New homes should be of a decent size and not cramped living spaces which seems to be the norm with new builds","1","1","1","13","5","5","11","2","2","","false"
"","26","10","5","41","Housing should acvomodate parking for visitors even if the householder hasnt a car their visitors may have one.","1","4","0","10","4","3","15","2","2","","false"
"","20","13","3","36","Whilst improving outdoor recreational facilities, incorporate gym/workout equipment","1","2","0","11","4","1","8","7","2","","false"
"","20","6","7","33","Road planners should choose BETWEEN roundabouts and traffic lights & trust that licence holders know how to use them instead of putting lights at every possible point on every single roundabout, which defeats the object of traffic controlling measures, preventing traffic flow & causing unnecessary volume of traffic to block roads and roundabouts","2","1","1","8","3","3","10","2","2","","false"
"","57","1","3","61","The current road conditions should be improved, with many potholes being filled for this.","7","0","0","21","1","2","29","0","1","","false"
"","34","2","5","41","Road works should have a time limit of how long they have to complete the work, to help prevent any further delays and improve traffic.","6","1","1","15","1","2","13","0","2","","false"
"","39","4","5","48","Improve public transport connections across local villages (for example Pattingham Perton Codsall Bilbrook etc.).","3","3","0","15","0","2","21","1","3","","false"
"","9","11","4","24","New developments should not be cut off from existing developments, the green belt is there to protect countryside however the natural expansion of villages, towns etc is into the green belt. If we were to push teh green belt by c.0.5m around all conurbations, this would go along way to solving the housing shortage","3","0","0","1","5","2","5","6","2","","false"
"","16","15","3","34","Provision should be made for good cycle paths that are appropriate for commuting to work locally. This means reasonably straight, unobstructed cycle paths where it is safe to cycle at speed without risking collisions with street furniture or pedestrians, otherwise cyclepaths will underused.","3","0","0","5","6","3","8","8","0","","false"
"","15","14","3","32","ALL new properties and ALL upgrades to existing properties SHOULD include safe and secure storage for bicycles, separate to the main building, especially for social and family housing. This will enable more alternatives for cycle commuting, safe charging for e-bikes, and access to low-cost flexible transport where public transport is inaccessible for low-income households.","1","3","0","2","6","2","12","5","1","","false"
"","25","4","6","35","In the case of Penkridge, it should not continue to be used as an extra lane of the M6 yet rely on local government to maintain and repair the roads. The Highways Agency must be made to cover those costs.","5","1","0","10","1","2","10","1","4","","false"
"","16","13","6","35","build apartments for the young pople, say 6 stories high apartments should have 1 sitting room and kitchen attached. l larger bedroom
and a small room and shower room, all with balconies","4","1","0","2","6","4","10","6","2","","false"
"","27","7","6","40","We need more bus shelters with more reliable, accessible public transport to reduce congestion and poor air quality on our roads.","2","2","0","10","2","3","15","3","3","","false"
"","7","11","4","22","Social housing should not be mixed with open market housing in the same development","0","2","0","2","6","2","4","3","2","","false"
"","17","9","5","31","New developments should be extensions of existing conurbations - for example increasing size of Perton, Codsall etc as these are all connected to wolverhampton.","4","2","1","5","1","2","7","6","2","","false"
"","6","19","1","26","South Staffordhsire should do all it can to accommodating the Birmingham overspill. It is a national problem that needs resolving and South Staffordshire should do what it can to resolve the shortage.","2","2","1","0","8","0","3","9","0","","false"
"","12","13","3","28","Green belt should be built on where appropriate - At times, the labelling of green belt should have no bearing on an application. The requirements to outweigh the weight green belt carries should be lowered and we would see much more suitable developments come forward. We are too concerned with housing density and not building villages people want to live in. If development is to take place in the green belt, which is has to, then the developments should have to be garden villages which preserves the green nature of the area. Take Letwchworth & Welwyn Garden Cities - huge swathes of green development that look fabulous....much better that the high density red brick towns we see going up now. The issue is not green belt, the issue is the layout and design of new developments that are designed in green belt are simply not good enough.","2","0","0","1","9","0","8","4","3","","false"
"","24","1","6","31","To reduce congestion, alternatively to driving must be safe, fast, easy to access and cheap. If you can't safely walk to a local shop then it's no surprise when car traffic is terrible.","2","0","0","8","1","5","14","0","1","","false"
